,member,URL
0,"1741 Fund Solutions AG, St. Gallen",http://www.1741group.com/
1,"21Shares AG, Zug",https://21shares.com/
2,"Aberdeen Standard Investments (Switzerland) A, Zürich",https://www.aberdeenstandard.ch/
3,"Acolin Fund Services AG, Zurich",http://www.acolin.com/
4,"AG für Fondsverwaltung, Zurich",http://www.immofonds.ch/
5,"Albin Kistler AG, Zurich",http://www.albinkistler.ch/
6,"AllianceBernstein Schweiz AG, Zurich",http://www.alliancebernstein.com/
7,"Allianz Global Investors (Schweiz) AG, Zürich",https://www.ch.allianzgi.com/
8,"Altenburger Ltd, Geneva",not_found
9,"AMUNDI Suisse SA, Geneva",http://www.amundi.com/
10,"ASMA Asset Management Audit & Compliance SA, Geneva",http://www.amaudit.ch/
11,"Avadis Vorsorge AG, Zurich",http://www.avadis.ch/
12,"AVELALAW AG, Zürich",http://www.avelalaw.com/
13,"AXA Investment Managers Schweiz AG, Zurich",http://www.axa-im.ch/
14,"Ayaltis AG, Zurich",http://www.ayaltis.com/
15,"Baker McKenzie Zürich, Zurich",http://www.bakermckenzie.com/
16,"Baloise Asset Management AG, Basel",http://www.baloise-asset-management.com/
17,"Banca del Sempione SA, Lugano",http://www.bancasempione.ch/
18,"Banca Popolare di Sondrio (Suisse) SA, Lugano",http://www.bps-suisse.ch/
19,"Banca Zarattini & Co. SA, Lugano",http://www.zarattinibank.ch/
20,"Bank Julius Bär & Co. AG, Zurich",http://www.juliusbaer.com/
21,"Banque Bonhôte & Cie SA, Neuchâtel",http://www.bonhote.ch/
22,"Banque Cantonale de Genève, Geneva",http://www.bcge.ch/
23,"Banque Cantonale Vaudoise BCV, Prilly",http://www.bcv.ch/
24,"Banque Cramer & Cie SA, Geneva",http://www.banquecramer.ch/
25,"Banque Heritage SA, Geneva",https://www.heritage.ch/
26,"Bär & Karrer AG, Zürich",https://www.baerkarrer.ch/
27,"BDO AG, Zurich",http://www.bdo.ch/
28,"BERNINVEST AG, Bern",https://www.berninvest.ch/
29,"BlackRock Asset Management Schweiz AG, Zurich",http://www.blackrock.com/ch
30,"BlueBay Asset Management AG, Zurich",http://www.bluebay.com/
31,"BlueStar Investment Managers SA, Lugano",http://www.bluestar-im.ch/
32,"BNP Paribas (Suisse) SA, Geneva",http://www.bnpparibas.com/
33,"BNP Paribas, Paris, Zurich Branch, Zurich",https://securities.cib.bnpparibas/de/
34,"Bordier & Cie Banquiers Privés, Geneva",http://www.bordier.com/
35,"Bovay & Partenaires S.A., Lausanne",http://www.bovay.ch/
36,"Bratschi AG, Zurich",http://www.bratschi.ch/
37,"BWM AG, Wilen b. Wollerau",http://www.bwm.ch/
38,"CACEIS (Switzerland) SA, Nyon",http://www.caceis.com/
39,"Candriam Suisse Sàrl, Geneva",http://www.candriam.com/
40,"Cape Capital AG, Zurich",http://www.capecapital.com/
41,"Capital International Sàrl, Geneva",http://capitalgroup.com/
42,"CapstoneLaw, Zürich",https://www.capstonelaw.ch/
43,"Carnegie Fund Services S.A., Geneva",http://www.carnegie-fund-services.ch/
44,"Citibank (Switzerland) AG, Zurich",http://www.citi.com/
45,"Clearstream Fund Centre AG, Zürich",http://www.clearstream.com/
46,"CMS von Erlach Partners AG, Zurich",http://www.cms.law/
47,"Cornèr Banca SA, Lugano",http://www.corner.ch/
48,"Credit Suisse Funds AG, Zurich",http://www.credit-suisse.com/
49,"Crypto Finance (Asset Management) AG, Zürich",https://www.cryptofinance.ch/
50,"DIAMOS Suisse AG, Zurich",http://www.diamos.com/
51,"Dominicé & Co Asset Management, Geneva",http://www.dominice.com/
52,"Dreyfus Söhne & Cie AG, Banquiers, Basel",http://www.dreyfusbank.ch/
53,"DWS CH AG, Zurich",http://www.dws.com/
54,"Edmond de Rothschild (Suisse) SA, Geneva",http://www.edmond-de-rothschild.com/
55,"EFG Asset Management (Switzerland) SA, Geneva",http://www.efgam.com/
56,"Energy Infrastructure Partners AG, Zurich",http://www.energy-infrastructure-partners.com/
57,"Ernst & Young AG, Basel",http://www.ey.com/ch
58,"Fairway Asset Management AG, Zürich",https://www.fairway-asset.com/
59,"FBT Avocats SA, Geneva 6",http://www.fbt.ch/
60,"FE fundinfo (Switzerland) AG, Zurich",http://www.fefundinfo.com/
61,"FIL Investment Switzerland AG, Zurich",http://www.fidelity.ch/
62,"First Independent Fund Services AG, Zurich",http://www.fifs.ch/
63,"FISCH ASSET MANAGEMENT AG, Zurich",http://www.fam.ch/
64,"Flossbach von Storch, Zurich",http://www.flossbachvonstorch.ch/
65,"FRORIEP Legal AG, Zurich",http://www.froriep.ch/
66,"Fund Channel (Suisse) S.A., Nyon",http://www.fund-channel.com/
67,"Fundana SA, Geneva",http://www.fundana.ch/
68,"FundPartner Solutions (Suisse) SA, Geneva",http://www.pictet.com/
69,"FundRock Switzerland SA, Gland",https://www.fundrock.com/fundrock-switzerland/
70,"Galena Asset Management SA, Geneva",http://www.galena-invest.com/
71,"GAM Investment Management (Switzerland) Ltd, Zurich",http://www.gam.com/
72,"Generali Investments Switzerland Ltd., Adliswil",http://www.fortunainvest.ch/
73,"GERIFONDS SA, Lausanne",http://www.gerifonds.ch/
74,"Graubündner Kantonalbank, Chur",https://www.gkb.ch/
75,"Gutzwiller Fonds Management AG, Basel",http://www.gutzwiller-funds.com/
76,"HBM Partners AG, Zug",http://www.hbmpartners.com/
77,"Helvetia Asset Management AG, Basel",http://www.helvetia-am.ch/
78,"Helvetica Property Investors AG, Zurich",http://www.helvetica.com/
79,"Homburger AG, Zurich",http://www.homburger.ch/
80,"HSBC Global Asset Management (Switzerland) Ltd., Zurich",http://www.assetmanagement.hsbc.com/
81,"Hyposwiss Private Bank Genève SA, Geneva",http://www.hyposwiss.ch/
82,"iCapital Network AG, Zürich",https://www.icapitalnetwork.com/
83,"INVESCO Asset Management (Schweiz) AG, Zurich",http://www.invesco.ch/
84,"Investissements Fonciers SA, Lausanne",http://www.lafonciere.ch/
85,"IPConcept (Schweiz) AG, Zurich",http://www.ipconcept.com/
86,"J. Safra Sarasin Investmentfonds AG, Basel",http://www.jsafrasarasin.com/
87,"J.P.Morgan Asset Management (Schweiz) GmbH, Zurich",http://www.jpmam.ch/
88,"Janus Henderson Investors, Zurich",http://www.janushenderson.com/
89,"JUNOD, MUHLSTEIN, LEVY & PUDER, AVOCATS, Geneva",http://www.jmlp.ch/
90,"Jupiter Asset Management (Switzerland) AG, Zurich",http://www.jupiteram.com/
91,"Kellerhals Carrard, Zurich",http://www.kellerhals-carrard.ch/
92,"KGAL Investment Management GmbH & Co. KG, Grünwald",http://www.kgal.de/
93,"Kieger AG, Zurich",http://www.kieger.com/
94,"KPMG AG, Zurich",http://www.kpmg.ch/
95,"L1 Digital AG, Zürich",https://l1.digital/
96,"Lenz & Staehelin, Geneva",http://www.lenzstaehelin.com/
97,"LGT Capital Partners AG, Pfäffikon SZ",http://www.lgtcp.com/
98,"LLB Swiss Investment AG, Zurich",http://www.llbswiss.ch/
99,"Lombard Odier Asset Management (Switzerland) SA, Petit-Lancy",http://www.loim.com/
100,"Loyens & Loeff Schweiz GmbH, Zurich",http://www.loyensloeff.ch/
101,"Lucht Probst Associates GmbH, Frankfurt am Main",https://www.l-p-a.com/
102,"LUKB Expert Fondsleitung AG, Luzern",http://www.expertfonds.ch/
103,"M&G International Investments Switzerland AG, Zurich",http://www.mandg.ch/
104,"Man Investments (CH) AG, Pfäffikon SZ",http://www.man.com/
105,"Man Investments AG, Pfäffikon SZ",http://www.man.com/
106,"MFM Mirante Fund Management SA, Lausanne",http://www.mirante.ch/
107,"Migros Bank AG, Zurich",http://www.migrosbank.ch/
108,"Mirabaud Asset Management (Suisse) SA, Geneva",http://www.mirabaud-am.com/
109,"MLL Meyerlustenberger Lachenal Froriep AG, Zweigniederlassung Zürich, Zurich",http://www.mll-legal.com/
110,"Natixis Investment Managers Switzerland Sàrl, Geneva",https://www.im.natixis.com/de-ch/home
111,"Neuberger Berman (Switzerland) GmbH, Zurich",http://www.nb.com/
112,"Niederer Kraft Frey AG, Zurich",http://www.nkf.ch/
113,"Nordea Asset Management Schweiz GmbH, Zurich",http://www.nordea.ch/
114,"Northern Trust Global Services SE Leudelange, Luxembourg, Zweigniederlassung Basel, Basel",http://www.northerntrust.com/
115,"NS PARTNERS SA, Geneva 1",http://www.nspgroup.com/
116,"OBERSON ABELS SA, Geneva",http://www.obersonabels.com/
117,"Partners Group, Baar-Zug",http://www.partnersgroup.com/
118,"Patrimonium Asset Management AG, Baar",https://www.patrimonium.ch/
119,"PAX ASSET MANAGEMENT AG, Basel",https://www.pax.ch/asset-management/
120,"Pensimo Fondsleitung AG, Zurich",http://www.pensimo.ch/
121,"Pestalozzi Rechtsanwälte AG, Zurich",http://www.pestalozzilaw.com/
122,"Pictet Asset Management SA, Geneva",http://www.assetmanagement.pictet/
123,"PostFinance AG, Bern",http://www.postfinance.ch/
124,"Prager Dreifuss AG, Zurich",http://www.prager-dreifuss.com/
125,"PricewaterhouseCoopers AG, Zurich",http://www.pwc.ch/
126,"Primecoach AG, Wollerau",http://www.primecoach.ch/
127,"Procimmo SA, Zurich",http://www.procimmo.ch/
128,"Profidata AG, Urdorf",http://www.profidatagroup.com/
129,"Quaero Capital S.A., Geneva",http://www.quaerocapital.com/
130,"Quantica Capital AG, Schaffhausen",http://www.quantica-capital.com/
131,"Rahn+Bodmer Co., Zurich",http://www.rahnbodmer.ch/
132,"Raiffeisen Schweiz Genossenschaft, St. Gallen",http://www.raiffeisen.ch/
133,"RAM Active Investments S.A., Geneva",http://www.ram-ai.com/
134,"RBC Investor Services Bank S.A., Esch-sur-Alzette, Zweigniederlassung Zürich, Zurich",http://www.rbcits.com/
135,"Realstone SA, Lausanne",http://www.realstone.ch/
136,"Reichmuth & Co Investment Management AG, Luzern",http://www.reichmuthco.ch/
137,"REYL & Cie SA, Genf",http://www.reyl.com/
138,"Robeco Schweiz AG, Zurich",http://www.robeco.com/
139,"Schellenberg Wittmer SA, Geneva",http://www.swlegal.ch/
140,"Schroder Investment Management (Switzerland) AG, Zurich",http://www.schroders.ch/
141,"Schroders Capital Management (Switzerland) AG, Zurich",https://www.schroderscapital.com/
142,"Schweizerische Bankiervereinigung SBVg, Basel",https://www.swissbanking.org/
143,"Schweizerische Mobiliar Asset Management AG, Bern",http://www.mobi.ch/
144,"Schwyzer Kantonalbank, Schwyz",https://www.szkb.ch/
145,"SG Value Partners AG, Zurich",https://www.sgvaluepartners.ch/
146,"SIA Funds AG, Lachen",http://www.s-i-a.ch/
147,"SimCorp Schweiz AG, Zurich",http://www.simcorp.com/
148,"SIX Group AG, Zurich",http://www.six-group.com/
149,"Société Générale Paris, Zweigniederlassung Zürich, Zurich",http://www.sg-securities-services.com/
150,"Société pour la gestion de placements collectifs GEP S.A., Lausanne",http://www.gep.ch/
151,"Solutions & Funds SA, Morges",http://www.solutionsandfunds.com/
152,"State Street Bank International GmbH, Munich, Zurich Branch, Zurich",http://http//www.statestreet.com/about/office-locations/switzerland.html
153,"Suter Howald Rechtsanwälte, Zurich",http://www.suterhowald.ch/
154,"SWA Swiss Auditors AG, Pfäffikon",https://www.swa-audit.ch/
155,"Swiss Capital Alternative Investments AG, Zurich",http://www.swisscap.com/
156,"Swiss Finance & Property Funds AG, Zurich",http://www.sfp.ch/
157,"Swiss Life Asset Management AG, Zurich",http://www.swisslife-am.com/
158,"Swiss Re Insurance Linked Investment Management AG, Zurich",https://www.swissre.com/
159,"Swissquote Bank AG, Gland",http://www.swissquote.ch/
160,"Symbiotics SA, Geneva",http://www.symbioticsgroup.com/
161,"T. Rowe Price (Switzerland) GmbH, Zurich",http://www.troweprice.com/
162,"Tax Partner AG, Zurich",http://www.taxpartner.ch/
163,"Threadneedle Portfolio Services AG, Zurich",http://www.columbiathreadneedle.com/
164,"Twelve Capital AG, Zurich",http://www.twelvecapital.com/
165,"UBS Asset Management Switzerland AG, Zürich",https://www.ubs.com/
166,"UBS Fund Management (Switzerland) AG, Basel",http://www.ubs.com/fms
167,"Unigestion SA, Geneva",http://www.unigestion.com/
168,"Union Bancaire Privée, UBP SA, Geneva",http://www.ubp.com/
169,"Valiant Holding AG, Bern",http://www.valiant.ch/
170,"Vanguard Investments Switzerland GmbH, Zurich",http://www.vanguard.ch/
171,"VERIT Investment Management AG, Zurich",http://www.verit-investment-management.ch/
172,"VISCHER AG, Basel",http://www.vischer.com/
173,"Vontobel Fonds Services AG, Zurich",http://www.vontobel.com/
174,"Walder Wyss AG, Zurich",http://www.walderwyss.com/
175,"Wenger & Vieli AG, Zurich",https://www.wengervieli.ch/
176,"Zuger Kantonalbank, Zug",https://www.zugerkb.ch/
177,"Zürcher Kantonalbank, Zürich",https://www.zkb.ch/assetmanagement
178,"Zurich Invest AG, Zurich",http://www.zurichinvest.ch/
179,"ZZ Vermögensberatung (Schweiz) AG, Vitznau",https://www.linkedin.com/company/zz-vermoegensberatung-schweiz-ag/about/
